"","id","age","highest_education","profession","hispanic","weekly_hours_worked","in_college","is_married","schoolmeals_purchases","self_employed","sex","supp_security","reason_unemployment","main_profession","numweeks_schoolmeals","psu","psu_popsize","net_income","total_food_percent","rent_income_percent","alcbev_percent","bakery_percent","beef_percent","cereal_percent","child_age","housing_type","census_division","eggs_percent","fam_size","food_away_percent","food_home_percent","fresh_fruit_percent","fresh_veg_percent","value_foodstamps","number_foodstamps","non_alc_grocery_percent","milk_percent","number_earners","non_alc_bevs_percent","oils_percent","othdairy_percent","othmeat_percent","members_under18","members_over64","pet_food_percent","pork_percent","procfruit_percent","proc_veg_percent","spouse_race","seafood_percent","smoking_percent","lives_in_MSA","state","sweets_percent","vehicle"
"20","360921","50","Master’s or greater","Paid employee of a PRIVATE company","No","47.5","Not at all","Married","","No","Male","","","103","","Rest of America","1.20-4 mil","211800","0.0433370160528801","","0.00214825306893296","0.00115391879131256","0.000940321057601511","0.00160321057601511","0","House, apartment, flat","East North Central","0.000141170915958451","2","0.0294949008498584","0.0138421152030217","0.00072795089707271","0.00132765231350331","","","0.0196411709159585","0.00000656279508970727","2","0","0.000379320113314448","0.0017038715769594","0.0004898016997167139","0","0","0.00181558073654391","0","0.000428423040604344","0.00118583569405099","1","0","0","Yes","Ohio","0.00172842304060434","2"
"21","360922","66","Master’s or greater","A State government employee","No","42.6666666666667","Not at all","Married","","No","Male","","","102","","Rest of America","0.33-1.19 mil","197954.5","0.0237271696273639","","0","0.00240752294087783","0","0.00139223912565766","7","House, apartment, flat","West North Central","0.000629134472820774","3","0.0109408980346494","0.0127862715927145","0.00084059720794425","0.0009745673879603651","","","0.0210149301986062","0.0000214695801307876","3","0.00014053734570317901","0","0","0.00014053734570317901","0","2","0","0.0018650750551263","0","0","1","0","0","Yes","Kansas","0.0018164780290420301","5"
"22","360924","47","Bachelor’s degree","Paid employee of a PRIVATE company","Yes","36.6666666666667","Not at all","Married","","No","Male","","","112","","New York-Newark-Jersey City, NY-NJ-PA","4 mil+","75855.6","0.118062476600277","","0","0.0065946350697905","0","0.009240715253718909","7","House, apartment, flat","Middle Atlantic","0","3","0.0373124726453947","0.0807500039548827","0.0023513095934907897","0.0114275017269654","","","0.0754064301119495","0.000314017686235426","3","0.000589541180875242","0","0.0028380238242133697","0.00151841129725426","0","0","0","0","0","0.000428445625636077","1","0.009967359034797691","0","Yes","New York","0",""
"23","360929","51","Some college but no degree","Paid employee of a PRIVATE company","No","54","Not at all","Married","","No","Male","","","111","","Chicago-Naperville-Elgin, IL-INWI","4 mil+","193000","0.0185340959585492","","0","0.000884134715025907","0.00065749689119171","0.00117180652849741","0","House, apartment, flat","East North Central","0","2","0.00556238341968912","0.0129717125388601","0.000364603523316062","0.00024373181347150298","","","0.0215544041450777","0.00000656683937823834","2","0.00231089481865285","0.00191104310880829","0.000368913056994819","0","0","0","0","0.000723833264248705","0.000546022901554404","0.00108826704663212","1","0","0","Yes","Indiana","0.0005921614507772019","4"
"24","360931","35","Bachelor’s degree","Paid employee of a PRIVATE company","No","40","Not at all","Married","","No","Male","","","103","","Rest of America","1.20-4 mil","68000","0.203813235294118","","0.00818235294117647","0.011245","0.00259235294117647","0.00178941176470588","2","House, apartment, flat","West South Central","0.0007914705882352941","5","0.10258529411764698","0.10122794117647098","0.0182420588235294","0.00955882352941177","","","0.15294117647058803","0.00011330882352941202","1","0","0.00324235294117647","0.00936382352941176","0.00129235294117647","3","0","0","0.00159441176470588","0.00495147058823529","0.0013802941176470599","1","0","0","Yes","Oklahoma","0.00195","2"
"25","360934","54","Master’s or greater","Paid employee of a PRIVATE company","No","41.6666666666667","Not at all","Married","","No","Male","","","101","","Rest of America","1.20-4 mil","401230.8","0.0145438485779257","-0.259202434110243","0.0015552146046614599","0.000762055156284114","0","0","7","House, apartment, flat","South Atlantic","0.00008553680325638009","3","0.00750326246140625","0.00704058611651947","0.0008534240143079741","0.000872216190780967","","","0.0116641095349609","0.00000395034478908399","3","0.0005449731177167849","0.00009201686410913621","0.0013050842557450698","0","0","0","0","0.000231986178528667","0.00008294477891527769","0.000120529131861263","1","0","0","Yes","","0","3"
"26","360935","88","Bachelor’s degree","","No","","Not at all","Widowed","","No","Male","","Retired","930","","Washington-ArlingtonAlexandria, DC-VA-MD-WV","4 mil+","18845.8","0.568950589521273","","0.00970247906695391","0.0245985842999501","0","0.00282821636651137","0","House, apartment, flat","South Atlantic","0.00282821636651137","1","0.425566917827845","0.143383671693428","0.0103988825096308","0","","","0.220738838361863","0.000130533063069756","0","0.0261575523458808","0","0.0240329410266478","0","0","1","0.0297031699370682","0","0.0035318214137898102","0","","0","0","Yes","","0",""
"27","360939","75","Bachelor’s degree","","No","","Not at all","Widowed","","No","Female","","Retired","930","","St. Louis, MO-IL","1.20-4 mil","40735.2","0.0875385416052947","","0","0.0102761248257036","0.0128738781201516","0.00129568530411045","0","House, apartment, flat","West North Central","0","3","0.0102122979634321","0.0773262436418626","0.0115781928160412","0","","","0.089357607180031","0","0","0.0101165576700249","0.00129568530411045","0.0067273512834109105","0","0","3","0","0","0","0","","0","0","Yes","Missouri","0.00133398142147332","1"
"28","360940","48","Master’s or greater","Paid employee of a PRIVATE company","No","50","Not at all","Married","","No","Male","","","103","","Rest of America","1.20-4 mil","233230.8","0.0849746547197025","","0.0138145274980834","0.0018471831336170001","0","0.00052282974632853","5","House, apartment, flat","East South Central","0.00027757911905288704","3","0.0617204361516575","0.023254218568045","0.0018862002788654","0.0028114640090416898","","","0.041246696405449","0","1","0.0023354548370112397","0","0.00539551380006414","0","1","0","0.000312137161987182","0","0","0.000307678059673079","1","0","0","Yes","Kentucky","0","3"
"29","360941","70","High school graduate","Paid employee of a PRIVATE company","No","8","Not at all","Married","","No","Male","","","112","","Rest of America","< 125,000","38266","0.0945460722312235","","0","0.00230335023258245","0","0.0101578424711232","0","House, apartment, flat","","0.000944441540793394","2","0.029556264046412005","0.0649898081848116","0.00239847384100768","0.00901635917002038","","","0.0543563476715622","0.000141901426854126","1","0.000631892541681911","0.00141326503946062","0.0129300162023729","0","0","2","0","0.00226937751528772","0","0.000672659802435583","1","0","0","Yes","","0.004722207703966971","2"
"30","360942","21","Some college but no degree","","No","","Full time","Never married","","No","Female","","Going to school","920","","Rest of America","125,000 - 330,000","31581.9","0.0697323492253474","","0","0","0","0","0","","South Atlantic","0","1","0.0387532124413034","0.030979136784043997","0","0.0053840965869691206","","","0.16465127177275599","0","0","0","0.00586981783869875","0.0036881884877097296","0","0","0","0.0077402974488552","0","0","0","","0","0.007961144199684","Yes","North Carolina","0.00933572710951526","1"
"31","360945","60","High school graduate","Paid employee of a PRIVATE company","No","40","Not at all","Married","","No","Male","","","111","","Rest of America","1.20-4 mil","68817.6","0.0438902257562019","","0","0.009218571993211041","0","0","0","House, apartment, flat","East North Central","0","2","0.00657389970007672","0.0373163260561252","0.00138224175210993","0","","","0.0906744786217479","0.0000274639045825486","2","0","0","0.0053082351026481605","0.00150746320708656","0","0","0","0","0","0.00037403222431471004","1","0","0","Yes","","0.000940747715700635","4"
"32","360946","61","High school graduate","Paid employee of a PRIVATE company","No","20","Not at all","Married","","No","Male","","","111","","Rest of America","< 125,000","103592.9","0.0493205615442757","","0.00298418134833565","0.00756712091272665","0.00263782556526557","0.00558435954587621","0","House, apartment, flat","","0.000474356833335103","2","0.0110633064621224","0.0382572550821533","0.00127248102910528","0.004517684127000979","","","0.0527063148150115","0.000027415006240775198","1","0","0.0008508305105851849","0.00615408971078134","0.0010014199814852198","0","0","0","0.0022989992557405","0","0","1","0","0","No","","0.000815692967375177","3"
"33","360948","62","High school graduate","A State government employee","No","45","Not at all","Married","","No","Female","","","110","","Honolulu, HI","0.33-1.19 mil","178859.8","0.0472102716205654","","0","0.00615476479343039","0.008832391291950459","0.00105971269116928","7","House, apartment, flat","Pacific","0.00121234620635828","9","0.0007370018304839879","0.0464732697900814","0.00301051438053716","0.00316169424320054","","","","0.0000251034609230246","4","0.00363413131402361","0.000895449955775417","0.0024130631925116802","0","4","1","0","0.00328234740282612","0","0.0060646383368426","1","0.0014420233054045699","0","Yes","Hawaii","0","4"
"34","360953","68","Associate’s degree in college","","No","60","Not at all","Widowed","","No","Female","","Retired","930","","Rest of America","125,000 - 330,000","42972","0.14021316205901502","","0","0.0135425681839337","0.0382064409382854","0","7","House, apartment, flat","Middle Atlantic","0","5","0.0105640882435074","0.12964907381550803","0","0","","","0.193614446616401","0.0000361863539048683","1","0.0135832635204319","0.00483431071395327","0.00632877222377362","0.0118380047472773","2","1","0","0.0132190747463465","0","0.00251093735455646","","0","0.0526873312854882","Yes","Pennsylvania","0.00808867913990505","1"
"35","360954","66","Associate’s degree in college","A local government employee","No","20","Not at all","Divorced","","No","Female","","","106","","Rest of America","0.33-1.19 mil","20728","0.116904670011579","","0","0.0171468544963335","0","0.00287244307217291","0","House, apartment, flat","New England","0.00249614048629873","1","0","0.116904670011579","0.00989081242763412","0.0196238537244307","60","12","0.15052103434967198","0","1","0","0","0.00536858355847163","0","0","1","0","0.00250868390582787","0","0","","0.0444162485526824","0","Yes","","0","1"
"36","360957","36","High school graduate","","Yes","40","Not at all","Married","","No","Female","","Taking care of home/family","910","","Rest of America","1.20-4 mil","60000","0.188331","","0","0.016432","0","0.0164796666666667","2","House, apartment, flat","Mountain","0.008359","6","0.0346666666666667","0.15366433333333301","0.0122026666666667","0.00276033333333333","","","0.13","0.00010725","1","0.00872733333333333","0.005005","0.00562466666666667","0","4","0","0","0.009264666666666671","0","0.00389566666666667","1","0","0","Yes","Nevada","0.0042899999999999995","2"
"37","360958","56","Master’s or greater","Paid employee of a PRIVATE company","No","55","Not at all","Never married","","No","Male","","","102","","New York-Newark-Jersey City, NY-NJ-PA","4 mil+","112082.2","0.0643972215035037","","0.0008977339845220741","0.00118074056362206","0","0.0032870518244645396","0","House, apartment, flat","Middle Atlantic","0","1","0.0387294526695586","0.0256677688339451","0","0","","","0.0334040552380307","0.0000512570238628435","1","0.00127584933200812","0","0.00122713508478599","0","0","0","0","0","0.000786387133728638","0","","0.00149390358147859","0.0187897810713922","Yes","New York","0.000811904120368801",""
